cell,carrier_key,carrier_name,ac_type,seats_band,range_band,n_flights,n_tails,n_active_days,n_flights_with_number,first_date,last_date,s1,s1_den_flights,n_keys,s2,s2_n_days,avg_departures,s2_note,s3,s4,s4_entropy_norm,n_pairs,n_singletons,s1_imputed,label,low_confidence,pc1,pc2
SVA::B77L|NA|medium,SVA,Saudia,B77L,NA,medium,1923,4,239,1923,2022-05-31,2023-01-24,0.9218342886920271,1919,223.0,0.0687327964252753,239,8.04602510460251,ok,0.8577405857740585,0.765625,0.7245584430395073,64.0,15.0,False,fsc,False,1.0517211038940664,-0.34197714457649947
SVA::B77W|ge240|long,SVA,Saudia,B77W,ge240,long,642,2,224,642,2022-06-01,2023-01-24,0.6978193146417445,642,143.0,0.021999015975560643,238,2.697478991596639,ok,0.7710084033613445,0.9117647058823529,0.8484473126446164,34.0,3.0,False,fsc,False,0.7623418859485422,-0.7627975744800409
SVA::B77W|ge240|medium,SVA,Saudia,B77W,ge240,medium,12693,31,239,12624,2022-05-31,2023-01-24,0.9417838138352792,12591,692.0,0.31301996956633515,239,53.10878661087866,ok,0.8368200836820083,0.7608695652173914,0.7248291918616153,92.0,22.0,False,fsc,False,1.5932578753524893,1.284653345553662
SVA::B789|ge240|medium,SVA,Saudia,B789,ge240,medium,5387,12,239,5384,2022-05-31,2023-01-24,0.9411983624860439,5374,365.0,0.15332530554037282,239,22.539748953974897,ok,0.8410041841004183,0.7903225806451613,0.7750833042039014,62.0,13.0,False,fsc,False,1.2885886388841092,0.19102161188831565
SVA::B78X|ge240|long,SVA,Saudia,B78X,ge240,long,1626,4,238,1626,2022-06-01,2023-01-24,0.9298892988929889,1626,116.0,0.1659766920279221,238,6.831932773109243,ok,0.8823529411764706,0.7631578947368421,0.5606560062404153,38.0,9.0,False,fsc,False,1.3159730976745678,0.29255609531030835
SVA::B78X|ge240|medium,SVA,Saudia,B78X,ge240,medium,401,1,197,401,2022-06-01,2023-01-22,0.8528678304239401,401,60.0,0.04537751226465514,236,1.6991525423728813,ok,0.8347457627118644,0.9473684210526316,0.7463635597379846,19.0,1.0,False,fsc,False,1.188565154360905,-0.7007184326621924
SVR::A319|100-179|short,SVR,Ural Airlines,A319,100-179,short,1,1,1,1,2022-09-02,2022-09-02,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
SVR::A321|180-239|short,SVR,Ural Airlines,A321,180-239,short,1,1,1,1,2022-07-05,2022-07-05,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
SWR::B77W|ge240|regional,SWR,Swiss,B77W,ge240,regional,1,1,1,1,2023-05-04,2023-05-04,0.0,1,1.0,,1,1.0,short_series,1.0,,,,,True,fsc,True,,
SWR::BCS3|100-179|regional,SWR,Swiss,BCS3,100-179,regional,1,1,1,1,2026-01-12,2026-01-12,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,fsc,True,,
